Bill+version,Notes,Score,Fiscal Impact,Lack substance?,Lacks substance explanation,Non-binding or unenforceable?,Non-binding or unenforceable explanation,Unlawful or unconstitutional?,Unlawful or unconstitutional explanation,Grows government?,Grows government explanation,Reduces accountability?,Reduces accountability explanation,Contradicts separation of powers?,Contradicts separation of powers explanation,Legal plunder?,Legal plunder explanation,Infringes on rights or liberties?,Infringes on rights or liberties explanation,Non-government alternative exists?,Non-government alternative exists explanation,Raises taxes?,Raises taxes explanation,Increases debt?,Increases debt explanation,Other objection?,Other objection explanation
S 474 (Committee),"The committee amendment bans certain abortions, with notable exceptions.",-2,$572500,,,,,checked,"The 14th amendment of the US Constitution expressly prohibits states from infringing on rights and liberties afforded to citizens of the United States.
This bill brings up two central questions: do citizens of the United States have a God-given, inalienable right to life? And, are unborn children conceived in the United States persons, vested with the rights of a United States citizen?
If so, then you must conclude that this bill violates all three clauses of the 14th amendment in the following ways.
Clause I: No State shall make or enforce any law which shall abridge the privileges or immunities of citizens of the United States.
- Section 44-41-650 allows children conceived in rape or incest to be aborted. These children deserve to have a chance at life, not to be punished with death for the crimes of their fathers.
- Section 44-41-660 allows children believed to have fetal anomalies to be aborted. Note that physicians are often wrong in their diagnosis of fetal anomalies. Whether a defect exists or not, the unborn child is still a human person and deserves a chance at life.
Clause II: [No State shall] deprive any person of life, liberty, or property, without due process of law.
- No unborn child has ever committed a crime worthy of death.
- Sections -650 and -660 is blatantly unconstitutional by authorizing the killing of the categories of children listed above, merely on a whim, wish, or judgement call of another person. 
Clause III: [No State shall] deny to any person within its jurisdiction the equal protection of the laws.
- Section 44-41-610 defines ""abortion"" as an act ""to terminate the clinically diagnosable pregnancy of a woman with knowledge that [it]... will... cause the death of the unborn child"" which violates the equal protection clause by setting apart abortion as a different crime from murder (16-3-10, ""killing another person with malice aforethought"").
- Sections -630, -650, and -660 state that performing an illegal abortion is a felony, punishable by $10,000 in fines and/or 2 years in jail. This constitutes an absurd ""price"" on the head of each unborn child. In stark contrast, the penalty for murder is 20 years to life, or the death penalty. Note that 16-3-20(C)(a) instructs judges to lean towards severer penalties if the murder victim is dismembered, if the murderer was paid to murder, or if the murder victim is a child under the age of 12. Most abortions fit all three of these, and all abortions fit at least one of these aggravating circumstances.
- The amendment repeals the current misdemeanor in 44-41-80(b) for mothers who chemically abort their babies themselves.
- Section 44-41-670 explicitly absolves one of the key parties involved in the commission of a crime of abortion: the mother. This violates clause III as much a law absolving fathers from killing their born children would.",,,,,checked,"Section 44-41-680 allows the state to shirk part of its responsibility to prosecute crimes against the unborn by creating a private cause of action—in other words, work for injury attorneys seeking monetary damages.
By contrast, the state is fully and solely responsible for punishing murder, and rightly so, since this is the proper role of government (see Romans 13). Prosecuting crime is NOT the responsibility of private citizens. We would call one who does so anyway a ""vigilante.""",,,,,,,,,,,,
H 3786,"This bill increases funding to the SC Conservation Land Bank and expands the board that governs it by adding the Commissioner of Agriculture, the Secretary of Commerce, and the Secretary of Transportation, or their designees.",-2,$29511000,,,,,,,,,,,,,checked,This funding provides a perverse incentive for graft and profiting at the taxpayer's expense.,,,checked,"Purchasing land for conservation is not the role of government, and should be handled by private philanthropists.",,,,,,
H 3799,"This bill designates the first Monday of March of each year as ""Water Professionals Day.""",-1,$0,checked,"This bill is a shameless pander to a constituency that isn't even defined in the bill. Who is a ""water professional,"" anyway?",,,,,,,,,,,,,,,,,,,,,,
H 3811,This bill increases the total amount of Industry Partnership Fund tax credits that may be issued by the South Carolina Research Authority.,-1,$3000000,,,,,,,,,,,,,checked,"The state has no right to forcibly tax money from its citizens to invest in risky startups. This is the role of private equity, and using tax money for this is legal plunder.",,,,,,,,,,
H 3867,This bill allows a magistrate to issue an ex parte order of protection without a hearing or notice to the other party on a showing of probable cause.,-1,,,,,,,,,,,,,,,,checked,"This violates the right to due process of the other party. Currently before an order of protection goes into effect, the other party must be served and has a right to be present and heard at the hearing. Ex parte orders without notice puts fathers at a very real risk of violating an order they had no way of knowing about and then having their spouse use that violation against them in family court. Like ""red flag"" gun confiscation laws, this is an example of take your rights away today, due process later—which is not due process at all.",,,,,,,,
H 3868,"This bill officially declares the second Saturday in November as ""Women in Hunting and Fishing Awareness Day.""",-1,,checked,"This is South Carolina - we don't need an ""awareness day"" for women who like to hunt and fish. This bill does nothing but pander to a constituency for votes.",,,,,,,,,,,,,,,,,,,,,,
H 3880,This bill adds golf club dues to the list of admissions tax exemptions.,-1,$3000000,,,,,,,,,,,,,,,,,,,checked,"If these taxes are a problem for golf clubgoers, its a problem for other people too. But this bill doesn't do that. Instead it removes a class from the tax base which will over the long term raise the tax burden on everyone else.",,,,
H 3882,This bill restricts the use of non-attorney guardians ad litem in child custody cases.,-1,,,,,,,,,,,,,,,,,,,,,,,,checked,"This bill will grant near-monopoly status by law firms on the guardian ad litem industry, and exclude lay guardians ad litem (who arguably have a better track record) in most cases."
H 3905,This bill give the legislative delegation the power to remove members of the Edgefield Sewer & Water Board for incapacitation or nonattendance.,-2,,,,,,checked,"This bill is local legislation in violation of Article III, Section 34 of the South Carolina Constitution. It is liable to be vetoed on that basis.

This practice of ignoring the state constitution whenever it is convenient has got to stop.

Any legislator caught voting for this bill should be voted out for breaking their oath of office.",,,,,checked,"Section 1 grants the power to declare and fill vacancies on the board for incapacitation (physical or mental) or mere non-attendance. The board must vote to remove, and the county legislative delegation must vote to approve.

This violates separation of powers because making appointments to boards, removing board members for cause, and filling vacancies is an executive function, not a legislative one.

This bill therefore violates the separation of powers between the executive and legislative branches, and represents a new power grab by the Edgefield county legislative delegation.",,,,,,,,,,,,
H 3937,"This enabling act allows local governments to offer government-sponsored financing for ""greening"" commercial properties.

Fiscal Impact: MISSING",-1,,,,,,,,,,,,,,,,,,checked,"Providing financing for improving commercial properties is not the role of local government. Where a need for financing exists, it can and should be provided by the private sector.",,,,,,
H 3948,This bill provides a property tax exemption for solar or thermal energy equipment. Both consumers and businesses would be eligible for the property tax exemption.,-1,$4172000,,,,,,,,,,,,,,,,,,,checked,"This bill purports to provide tax exemptions for renewable energy equipment, but in reality it is a tax penalty for not using renewable energy on your property.
Per the fiscal impact statement: ""We anticipate that local governments will offset any reduction with an increase in the millage rate, within the limitations."" Nothing in this bill restricts local governments from doing so.
In other words, to the extent that people in your city or county benefit from this property tax exemption, your city or county will be able to (within limits) raise the millage (i.e. your tax rate).
Instead, property taxes should be abolished by the state. It is an immoral form of taxation that comes with many practical problems. This bill tries to address one while creating more problems than it solves.",,,,
H 3951,"This bill creates the Working Agricultural Lands Preservation Program under the South Carolina Conservation Land Bank, governed by a seven-member committee comprised of four appointments by the legislature, two members by the Governor, and the Commissioner of Agriculture.

The intent of this program is to provide matching grants to enable farmland that may be sold for non-agricultural purposes to be acquired by a non-profit or trust to ensure that it continues to be used for agricultural purposes.",-4,,,,,,,,checked,Sections 46-57-20 and -50 create a new government land conservation easement program for farmland funded with tax dollars via the Conservation Bank.,,,checked,Section 46-57-30 give the legislative branch jurisdiction over administering the program—an executive function—with four out of seven appointments to the committee. This violates the separation of powers between the branches.,checked,"This program provides a way for private landowners to profit from the sale of land to the state, or to a private corporation that is funded with a grant from the state.",,,checked,"Nothing is stopping concerned farmers and citizens of a community from creating the kind of non-profit described in Section 46-57-10(1) and funding it on their own—if there is a pressing need, someone will find a way to solve it. More government programs, bureaucrats, and handouts are not the answer.",,,,,,
H 3960,This bill designates the South Carolina Poultry Festival in Lexington County as the official State Poultry Festival.,-1,$0,checked,,,,,,,,,,,,,,,,,,,,,,,
H 3989,The bill requires solar farms to be state certified by the Public Service Commission before being constructed.,-1,$600000,,,,,,,checked,"The Office of Regulatory Staff will require four additional full-time employees to review applications, participate in public hearings, participate in hearings regarding applications, activities to calculate and assess entities, and for ongoing miscellaneous expenses. 

This bill also establishes a new Agricultural and Farmland Viability Protection Fund in the custody of the Department of Revenue to be used for agricultural and farmland protection activities.",,,,,,,,,,,,,,,,
H 3989 (Committee),The bill requires solar farms to be state certified by the Public Service Commission before being constructed.,-1,$600000,,,,,,,checked,"The Office of Regulatory Staff will require four additional full-time employees to review applications, participate in public hearings, participate in hearings regarding applications, activities to calculate and assess entities, and for ongoing miscellaneous expenses. 

Additionally, Section 58-33-610 of this bill establishes a new Agricultural and Farmland Viability Protection Fund in the custody of the Department of Revenue to be used for agricultural and farmland protection activities. Note: the committee amendment strikes this section from the bill.",,,,,,,,,,,,,,,,
H 4020,This bill raises the cap on tax incentives for film production in South Carolina. ,-1,$20000000,,,,,,,,,,,,,checked,Section 1 triples the cap on film incentives from $10 million to $30 million. Redirecting tax revenue to offset the production of movies by for-profit private companies is not a role of conservative government and constitutes legal plunder.,,,,,,,,,,
H 4048,"This bill gives ten state lawmakers who sit on the Joint Bond Review Committee the power to block Central Electric Power Cooperative from buying electricity from any other company besides state-owned Santee Cooper. This directly affects all 20 of SC’s electric co-ops.

Fiscal Impact: MISSING",-3,,,,,,,,,,,,checked,"The Joint Bond Review Committee consists of five Senators and five Representatives:

- Sens. Peeler, Alexander, Setzler, Cromer, Shealy
- Reps. Bannister, Cobb-Hunter, Stavrinakis, Herbkersman, Crawford

See https://drive.google.com/file/d/17lgvj1TQJOgCzrC7Le_ELk9XUHJvM0E4/view

The mere existence of this committee violates the separation of powers between the executive and legislative branches.

In addition, the bill sponsor—Rep. Heather Crawford—is herself a member of the JBRC. Rep. Bruce Bannister, a co-sponsor of this bill, is the vice-chairman of the JBRC. Together the two of them directly control 1/5th of the vote. Indirectly, they may control even more.

Crawford and Bannister are literally trying to give themselves the power to void Central Power contracts with suppliers other than state-owned Santee Cooper, and to force Central to buy more of its power from the state!

The level of corruption it requires to commit such a blatant conflict of interest in broad daylight is breathtaking.",,,checked,"This bill violates the right of free association. Just as customers have the right to form an electric coop, duly organized coops have the right to purchase power from any available source. This bill violates that right.",,,checked,"This bill would give the state the power to force electric coops statewide, via Central Power, to purchase their power from the state-owned Santee Cooper. This is effectively a state bailout of a yet-to-be-determined amount, funded by ratepayers. What is the difference between a tax hike and a rate hike? Nothing, if the government is forcing it.",,,,
H 4060,This bill establishes a state workforce readiness goal and directs the Department of Education to provide remediation courses to enable high school seniors to enroll in college. It also requires high school seniors to submit a federal aid application or to opt out before graduating.,-1,$190000,,,,,,,checked,"Section 3 requires high school seniors to either submit a federal aid application (FAFSA) before graduating, or to opt out. For seniors under the age of 18, opting out requires parental consent.

While the opt-out provision means this is not a mandate, in practice it would probably be presented that way to students. However the bigger issue is that the state is by policy actively encouraging individual financial dependence on the federal government. This in turn increases state dependence on federal funding, and increases the burden to taxpayers in the form of higher taxes, higher inflation, higher debt, or all the above.

Section 3(F) establishes yet another committee of bureaucrats to govern and oversee the program of encouraging/coercing graduating seniors to apply for federal college funding.

Per the fiscal impact statement, CHE indicates that the agency will require 1.5 additional FTEs and a new data portal to track and update dual enrollment and transfer changes.",,,,,,,,,,,,,,,,
H 4066,"This bill caps the number of delegates at the state party convention, consolidates the authority to hear challenges of county and local primary election outcomes with the state party executive committee, and enables the executive committee to require candidates to post a bond before challenging a primary election.",-3,,,,,,checked,"Article III, Section 17 of the South Carolina Constitution requires bills to address only one single subject. This bill addresses two unrelated subjects: state party convention delegate numbers and apportionment (Title 7, Chapter 9), and procedures for contesting a state party primary election result (Title 7, Chapter 17). 

Separate bills should have been filed to address each separately from the other. This bill should be amended to either strike either Section 1, or strike Sections 2-5.",,,checked,"Sections 2(C), 4, and 5 eliminate the existing process for appealing the decision of the state party executive committee, and replaces it with two important restrictions:

1. The matter must be appealed directly to the state Supreme Court
2. The State Supreme Court may not consider any information outside of the minutes of the executive committee's election contest hearing, which puts the decision on who decides what evidence can be considered by the judges in the hands of the party secretary and the executive committee, effectively giving the party the ability to sabotage any realistic chance that a candidate may have for a successful appeal.

The clear intent of these sections is to completely stop all primary election contests. This reduces the accountability of state and local election offices, and of the elected state party executive committee.",,,,,,,,,checked,"Section 2(B) allows a state party executive committee to require candidates who challenge the outcome of a state primary election to post a $5,000 bond, refundable if they win, but not refundable if they lose. This amounts to an unreasonable form of taxation.",,,,
H 4070,"This bill gives the state Public Service Commission regulatory control over Central Electric Power Cooperative.

Fiscal Impact: MISSING",-1,,,,,,,,,,,,,,,,,,,,checked,"This bill would give the state the power to force electric coops statewide, via Central Power, to purchase more of their power from the state-owned Santee Cooper. This is effectively a state bailout of a yet-to-be-determined amount, funded by ratepayers. What is the difference between a tax hike and a rate hike? Nothing, if the government is forcing it.",,,,
H 4086,"This bill revises various definitions related to the Residential Builders Commission and adds two new classifications under residential trade contractor. The bill also adds a new felony related to violations associated with licensure by the commission. Additionally, the bill makes changes to various civil and administrative penalties imposed by the commission. The bill requires the Department of Labor, Licensing and Regulation (LLR) to institute a new tiered system for residential builders’ licenses. Further, the bill makes conforming changes for licensure by the commission.",-2,$188000,,,,,,,checked,"Per the fiscal impact statement, LLR will require three new full time employee equivalents (FTEs) to track bond requirements, review background checks, track continuing education requirements, net worth requirements, staff meetings, and handle paperwork.",,,,,,,,,,,,,,,checked,This bill is far too long and cannot really be described in a concise way.
H 4087,"This bill expands the corporate headquarters tax credit, the recycling facilities tax credit, the job development tax credit, and the job retraining tax credit.",-1,$7070000,,,,,,,,,,,,,,,,,,,checked,Increasing specific tax credits for some people increases the tax burden on the rest. Taxes should be as fair as possible and as low of a rate as possible.,,,,
H 4100,"This bill mandates consolidation of all counties with multiple school districts into one district per county by July 1st, 2025.",-1,,,,,,checked,"Section 1(B) requires unconstitutional local laws to be passed to effect consolidation of county school districts. Local laws are prohibited in the South Carolina Constitution, Article III, Section 34.",,,,,,,,,,,,,,,,,,
H 4118,"This bill triples the available community development tax credits and reauthorizes the act for 6 years.

Fiscal impact: MISSING",-1,,,,,,,,,,,,,,,,,,,,checked,"As long as crony tax credits such as these continue to be re-authorized, South Carolina will not see significant lowering of its rates because too much of the tax burden is shifted from certain industries that the state favors onto other businesses that don’t qualify for state-approved tax breaks.",,,,
H 4120,"This bill codifies moving the Illegal Immigration Enforcement Unit from DPS to SLED, which has already been done via budget proviso. It also includes the language of a separate bill allowing DREAMer kids to receive in-state tuition and to be eligible for occupational licenses.

Fiscal Impact: MISSING",-1,,,,,,checked,"The two separate parts of the bill violates the single-subject rule in Article III, Section 17 of the South Carolina Constitution.",,,,,,,,,,,,,,,,,,
H 4124,"This bill splits the Department of Health and Environmental Control (DHEC) into two separate agencies, the Department of Public Health (DPH) and the Department of Environmental Services (DES).",-2,$21934906,checked,This bill does nothing to address the long-standing governance issues with DHEC. The new public health agency will continue to be governed by the existing board rather than become a cabinet agency under the Governor. There appears to be no net benefit to the taxpayers and the citizens of South Carolina from this split.,,,,,checked,"This exacerbates the issue of duplication within state agencies in South Carolina. Rather than create a new Department of Environmental Services, it would have been better to transfer those responsibilities to the Department of Natural Resources (DNR) and/or the Department of Agriculture and/or Clemson Extension.",,,,,,,,,,,,,,,,
H 4158,This bill allows a victim of domestic violence to terminate a rental agreement within sixty days of the documented incident without being held liable for early termination penalties or fees.,-1,,,,,,checked,"This bill violates Article I, Section 10 of the US Constitution, which expressly prohibits any bill “impairing the obligation of contracts.” The goals of this bill are admirable, but this is the wrong way to go about it. Instead, the bill should place requirements on the terms of rental contracts, to include the kinds of provisions this bill seeks to mandate, rather than attempting to override existing contracts already in place.",,,,,,,,,,,,,,,,,,
H 4231,This bill allows Sunday sale of alcohol after a public referendum.,-1,,,,,,,,,,checked,"The elected lawmakers' job is to make the decision, not hide behind the result of a public referendum. If it should be done, they should do it. Referendums such as this undermines our representative republic form of government.",,,,,,,,,,,,,,
H 4257,This concurrent resolution names Corine Johnson Way in Batesburg-Leesville.,-1,,,,,,,,,,,,,,,,,,,,,,,,checked,This type of honor should be awarded posthumously.
H 4300 (Senate version),State budget,-2,,,,,,,,checked,,,,,,checked,,,,,,,,,,,
H 4301,"This bill invokes the provisions of Article III, Section 36(B)(2) and (3), and which allows spending money out of the Capital Reserve Fund.",-1,$211194431,,,,,checked,"The final expenditure listed is $2 million for the ReadySC program which is used cover the cost of training workers to work for specific businesses. This is not clearly a capital improvement or ""other nonrecurring purpose,"" but appears to rather be funding for an ongoing program.
If so, this item violates Article III, Section 36(B)(2) of the SC Constitution which limits expenditures to the following three things only by a 2/3 vote of the legislature:
- (a) to finance in cash previously authorized capital improvement bond projects;
- (b) to retire interest or principal on bonds previously issued;
- (c) for capital improvements or other nonrecurring purposes. ",,,,,,,,,,,,,,,,,,
H 4319,This bill names the George J. 'Geordie' Madlinger III Bridge.,-1,,,,,,,,,,,,,,,,,,,,,,,,checked,This type of honor should be awarded posthumously.
H 4383,"This House resolution declares that ""the State can not mandate or coerce an individual to receive or penalize or discriminate against an individual for refusing a medical intervention, product, procedure, or genetic modification.""",-2,,checked,"Instead of making meaningless statements and pandering to constituencies, efforts should focus instead on enforceable legislation that restores medical freedom in South Carolina, including repealing the SC Emergency Health Powers Act which gives DHEC the ability to force vaccines and quarantines it deems necessary in what it deems an emergency.",checked,"This resolution expresses a pro-medical freedom position, but it is not legally binding. The wording is deceptive by saying that the state declares that ""the State can not mandate or coerce"" but the bill vehicle itself is not a law, has no force of law, and has no enforceablity.

Furthermore, the text of this resolution is actually factually incorrect. Under the SC Emergency Health Powers Act, the state can in fact mandate such things.",,,,,,,,,,,,,,,,,,,,
H 4388,This bill creates a whole brand new division within the state Department of Education to oversee school sports.,-1,,,,,,,,checked,"Presumably, the Department of Education will need to hire a director and possibly other staff for this division, although it is not known at this point since there is no fiscal impact statement yet.
Note also that 59-5-170(C)(11) gives the director almost unlimited power over school sports programs with the authority to regulate “other matters that the director believes will enhance interscholastic athletics in this State.”",,,,,,,,,,,,,,,,
S 31,"This bill eliminates the annual financial record audit requirement under §5-7-240 for municipalities in the state with less than $500,000 in total annual revenue. In lieu of an audit, these municipalities may elect to compile financial statements.",-1,,,,,,,,,,checked,"Taxpayer's funds should be carefully guarded. Transparency is the best disinfectant, and cities that have not complied with this transparency requirement to have their finances audited annually should be given greater scrutiny, not less. If a city truly cannot afford an audit, they cannot afford to be a city and should become unincorporated.",,,,,,,,,,,,,,
S 39,"This bill creates an education scholarship program to provide scholarship funding to a limited number of elementary students to allow them to attend private school. The program will be administered by the S.C. Department of Education (SCDE). The scholarship amount per pupil is $6,000 unless an increased or decreased limit is authorized in the annual general appropriations act.",-2,$2098300,,,,,,,checked,"The Department of Education will need 5 new full time employee equivalents (FTEs) to administer the program, training, and to set up a system for student accounts.

The State Treasurer's office will need 0.33 new FTEs to transfer the appropriate per pupil amounts to the trust fund.

Section 59-8-160 creates the ESTF Review Panel, which is yet another appointed committee to provide advise to the Department of Education. The Department is not required to follow their advise.",checked,"As a ""school choice"" measure, this ESA program will not provide any significant accountability to the public school system for the following reasons:
1. It is open to only 15,000 eligible students after a three-year phase-in (59-8-135).
2. The state still decides what schools you can choose. Private schools wishing to accept ESA funding must be approved by the state and must submit all test score data to the state to stay eligible. (59-8-140).
3. Private schools that accept ESA funding must comply with all applicable health and safety laws, regardless of whether such laws are justified or legal (59-8-150(A)(1)).
4. The state can control what private schools can teach. Private schools that accept ESA funding must administer the same high-stakes standardized tests that public schools use, which will in time lead to state control of the private school curriculum. (59-8-150(C)(1)).",,,,,,,,,,,,,,
S 96,"This bill makes passing a state-approved boating safety course mandatory for everyone before piloting a boat with an engine greater than ten horsepower, unless you were born on or before 7/1/2007.

Currently, a safety course is only mandatory for kids under the age of sixteen who are not accompanied by an adult for boats with engines of 15 horsepower or greater.",-1,,,,,,,,,,,,,,,,checked,"A mandatory boating safety course will do little to protect safety on the water. There are already laws against injury or damage to property, and there is recourse for reckless behavior. Requiring every current and future person 16 and up to take a mandatory state-approved course is an unnecessary infringement on their liberty to drive a boat. This bill makes South Carolina less free.",,,,,,,,
S 205,This bill names the Jerry Nealy Bridge in Fairfield county.,-1,,,,,,,,,,,,,,,,,,,,,,,,checked,These honors should be reserved for those who have passed on.
S 284,This bill allows local governments to use revenue generated by a local accommodations tax and a local hospitality tax for the development of workforce housing.,-3,,,,,,,,,,,,,,checked,This bill allows local government to forcibly take money via taxation from one group of private individuals and give it to another group of private individuals. This is a form of legal plunder.,,,checked,The private sector is fully capable of developing housing where the economic need exists. It does not need the intervention of government to accomplish it. Let the free market work this out.,,,checked,This bill allows counties and municipalities to use state accommodations tax revenues to issue bonds for the development of workforce housing. ,,
S 380,"This bill establishes the federally funded ""Kin GAP"" program to provide supplemental benefits for legal guardianship.",-1,$1696833,,,,,,,checked,"DSS anticipates that this bill will increase its expenses by $1,696,833, including the addition of one new full-time employee equivalent (FTE).",,,,,,,,,,,,,,,,
S 397,"This bill transfers the regulation of athletic trainers from the Department of Health and Environmental Control (DHEC) to the Board of Medical Examiners, which is under the administration of the Department of Labor, Licensing and Regulation (LLR). The bill also creates an Athletic Trainers’ Advisory Committee consisting of nine members appointed by the Board of Medical Examiners.",-1,$62253,,,,,,,checked,LLR will require one additional full-time employee to implement the bill.,,,,,,,,,,,,,,,,
S 406 (Committee),"This bill specifies that ballots cast during the early voting period may begin to be tabulated at the same time as absentee ballots. Additionally, this bill creates a new felony for those who intentionally publicly report the results of the early voting period before the polls are closed. Currently, only early reporting of absentee ballot tabulation is a felony.",-1,,,,,,,,,,,,,,,,,,,,,,,,checked,"The committee amendment adds Section 7-13-1160(B), which allows the results from the early voting period to be reported before election day! This introduces a new weakness into our election process which could be used to thwart the will of the people in an election. This section should be struck for the sake of election integrity."
S 411,This concurrent resolution names a bridge after former state Rep. Walt McLeod.,-1,,,,,,,,,,,,,,,,,,,,,,,,checked,Bridges should not be named after living politicians.
S 474,"This bill updates the so-called ""heartbeat bill"" post-Roe. It sets a 12-week limit, preserves the rape and incest exceptions, repeals language that is unnecessary post-Roe, and repeals existing statutes enacted back in the 1970s that were used as the basis for overturning the previous ""heartbeat bill"" recently by the South Carolina Supreme Court.

Neither the original bill nor this revision of the bill ban the killing of unborn children with heartbeats; they only ban killing them if a heartbeat is detected. And even if detected, the child may still be killed if it was conceived in tragic circumstances of rape or incest.",-3,$572500,,,,,checked,"The 14th amendment of the United States Constitution prohibits states from taking a person's life without due process and prohibits states from denying equal protection under the law from any person.
This bill violates the due process clause by allowing pre-born persons to be killed without due process.
This bill violates the equal protection clause in two ways: it preserves the language of Section 44-41-680 which grants explicit immunity to mothers, the final decision-maker on any abortion. Secondly, the bill sets an absurd $10,000 fine or two years in jail for violating the bill—a far lower penalty than the crime of killing a born person (also known as ""murder"").",checked,"Per the fiscal impact statement, MUSC will need to hire 0.3 FTEs for General Counsel, 0.2 FTEs for a Maternal Fetal Medicine MD, and 0.1 FTEs for an Ethics Physician.",,,,,,,checked,"After affirming that the product of fertilization is an ""unborn child"" in Section 44-41-610(7), Sections -625, -630, and -640 then allow these very unborn children to be legally killed via abortion prior to 12 weeks, provided no heartbeat was detected or the child was conceived in tragic circumstances of rape or incest.
Thus, this bill commits an unpardonable sin by affirming the humanity of the unborn child, then giving permission to take that human's life—the first unalienable right.
Section -650 allows a living unborn child in the womb which is presumed to have a fatal anomaly to be taken. This too is a violation of the right to life. There are many examples of situations where a physician believed the baby would not survive but the parents refused any intervention and birthed a perfectly healthy child who grew to adulthood. We should not allow the intentional and unnecessary killing of unborn children.
Section -660 deals with medical emergencies. While it is appropriate to clarify what should happen in these difficult situations, by authorizing abortion per se in these situations provides no incentive for the physician to attempt to save the life of the child in addition to the life of the mother. Both are important, and one is not to be discarded for the other. This too is a violation of the right to life.",,,,,,,,
S 478,This bill reduces the size of the Broadwater Water and Sewer District board in Anderson County from 9 members to 7 members.,-1,,,,,,checked,"This bill is local legislation in violation of Article III, Section 34 of the South Carolina Constitution. It is liable to be vetoed on that basis.

This bill does not state which board member seats will be removed. Since this bill takes effect immediately upon approval by the Governor, unless there happen to already be two vacancies on the board, two board members will have to be removed.

Which ones will they be, and who will decide which ones to remove? There may be an additional constitutionality issue with doing it this way.",,,,,,,,,,,,,,,,,,
S 480,"This bill names the Torrey Craig Highway in Great Falls, SC.",-1,,,,,,,,,,,,,,,,,,,,,,,,checked,These honors should be reserved to those who have passed on.
S 520,"This bill changes pharmacy rights and duties during audits and establishes a biannual auditing requirement for Medicaid managed care organizations; regulates Pharmacy Services Administrative Organizations (PSAOs); updates the fines and fees that may be charged by the Department of Insurance for these oversight responsibilities, including licensing requirements and corresponding fees; and sets penalties for violations ranging from $2,500 to $30,000 and possible imprisonment of no more than two years depending upon the violation.",-2,$386760,,,,,,,checked,The Department of Insurance will require five additional full-time employees to implement this bill.,,,,,,,,,,,checked,"This bill establishes a new licensure fee of $1,000 for Pharmacy Services Administrative Organizations.",,,,
S 604,"This bill adds another $587 million in federal ARPA money to the rural infrastructure competitive grant program set up in Act 244 of 2022, of which $100 million is reserved for projects ""significant to economic development.""",-1,$586633226,,,,,,,,,,,,,checked,"Spending this money, taken from future generations in the form of inflation and debt, is a form of legal plunder. States have no right to accept or to spend it, even for legitimate purposes.",,,,,,,,,,
S 648,"This bill names the heritage preserve on Capers Island for former state Senator George Campsen, Jr.",-1,,,,,,,,,,,,,,,,,,,,,,,,checked,These honors should be reserved for those who have passed on.
H 3728,"This bill requires schools to publicly disclose all content taught to students, and attempts to ban the teaching or use of certain concepts from Marxist critical theory in schools.",-2,,checked,"While purporting to ban critical race theory and similar Marxist ideas in schools, this bill actually mandates the teaching of systemic oppression. Section 59-29-620(D) not only acknowledges that systemic racism/sexism/etc. exists, it requires that it be taught in a ""fact""-based way. Key words are “historical oppression of a particular group of people.”

The Senate removed part of 59-29-620(C), which leaves students unprotected from potentially objectionable content that their parents have not given written consent to. In similar fashion, 59-29-650(A)(5) was removed which leaves parents with no ability to contest objectionable content in schools.",checked,"The Senate removed the private cause of action in 59-29-680, which prevents parents from suing a district for breaking this law. The ability to sue the district is probably the only thing that would have a shot at reigning in the leeway that woke groomers have inside of South Carolina schools.

The Senate added 59-29-620(F) which allows teachers to be subjected to mandatory (CRT-based) bias training if the school board votes it in as a disciplinary measure. Note that the words “for prohibited conduct” are not defined.",,,,,,,,,,,,,,,,,,,,
